Chamber_ID,Timestamp_Begin,Timestamp_End,Flux_CO2,Dry_CO2,Flux_SE_CO2,CrvFit_CO2,R2_CO2,CV_CO2,Tair_Amb,T5,SM5,EC5,FLux_CH4,Dry_CH4,Flux_SE_CH4,CrvFit_CH4,R2_CH4,CV_CH4
2,202004151813,202004151814,2.01565,432.6,0.0193502,Exp,0.790426,6.41769,12.618509999999992,14.780000000000015,0.38219999999999954,0.02000000000000001,-0.485292,1979.97,0.00571478,Exp,0.685113,7.83695
2,202004151814,202004151815,-9999,-9999,0,Exp,0,0,12.935713333333332,14.399999999999984,0.3830499999999994,0.02000000000000001,-9999,-9999,0,Exp,0,0
3,202004151816,202004151817,1.60509,430.759,0.00639807,Exp,0.964728,2.83207,12.908441666666665,14.30333333333332,0.34153333333333324,0.01323333333333334,-0.798907,1980.58,0.0049597,Exp,0.914661,4.2291
3,202004151817,202004151818,1.64386,435.741,0.0054196,Exp,0.97023,2.41246,13.119628333333337,13.979999999999988,0.34479999999999994,0.01300000000000001,-0.66788,1980.45,0.00221772,Exp,0.975421,2.42651
4,202004151819,202004151820,1.20333,432.191,0.00545941,Exp,0.932797,3.16268,13.389956666666668,13.786666666666669,0.3663999999999998,0.01413333333333334,-0.392154,1978.73,0.00245154,Exp,0.913072,4.24288
4,202004151821,202004151822,1.25653,431.257,0.00729917,Exp,0.922587,3.96488,13.194863333333332,13.700000000000012,0.3700999999999997,0.01445000000000001,-0.495932,1979.54,0.00218813,Exp,0.957173,3.08789
5,202004151822,202004151823,2.02593,431.307,0.00738159,Exp,0.965263,2.61889,13.640210000000002,13.653333333333334,0.3439333333333336,0.01423333333333334,-0.672753,1978.65,0.00188595,Exp,0.982514,2.12354
5,202004151824,202004151825,2.04774,431.864,0.00712448,Exp,0.96843,2.51428,13.833813333333328,13.630000000000017,0.34764999999999996,0.01500000000000001,-0.686026,1978.22,0.0062879,Exp,0.811286,6.11005
6,202004151825,202004151826,2.32332,432.047,0.0364223,Exp,0.457078,10.3638,14.06340166666667,13.738333333333312,0.16249999999999984,0.01518333333333334,-0.53996,1978.14,0.00944386,Exp,0.325837,11.5508
6,202004151827,202004151828,2.15237,430.911,0.00961546,Exp,0.955595,3.11083,14.383148333333333,13.799999999999988,0.1528333333333334,0.00183333333333333,-0.525482,1978.72,0.0038052,Exp,0.882957,4.8617
